,code,areaName,houseType,households,HouseholdSize,Households
124,E12000006,East of England,caravan,16141,h7,35780
125,E12000006,East of England,caravan,16141,h8plus,6794
126,E12000006,East of England,sharedHouse,45269,h0,0
127,E12000006,East of England,sharedHouse,45269,h1,759808
128,E12000006,East of England,sharedHouse,45269,h2,759808
129,E12000006,East of England,sharedHouse,45269,h3,915234
130,E12000006,East of England,sharedHouse,45269,h4,422590
131,E12000006,East of England,sharedHouse,45269,h5,359854
132,E12000006,East of England,sharedHouse,45269,h6,117695
133,E12000006,East of England,sharedHouse,45269,h7,35780
134,E12000006,East of England,sharedHouse,45269,h8plus,6794
135,E12000006,East of England,conversion,17147,h0,0
136,E12000006,East of England,conversion,17147,h1,759808
137,E12000006,East of England,conversion,17147,h2,759808
138,E12000006,East of England,conversion,17147,h3,915234
139,E12000006,East of England,conversion,17147,h4,422590
140,E12000006,East of England,conversion,17147,h5,359854
141,E12000006,East of England,conversion,17147,h6,117695
142,E12000006,East of England,conversion,17147,h7,35780
143,E12000006,East of England,conversion,17147,h8plus,6794
144,E12000007,London,terraced,727673,h0,0
145,E12000007,London,terraced,727673,h1,1001983
146,E12000007,London,terraced,727673,h2,1001983
147,E12000007,London,terraced,727673,h3,1007485
148,E12000007,London,terraced,727673,h4,587620
149,E12000007,London,terraced,727673,h5,483036
150,E12000007,London,terraced,727673,h6,201049
151,E12000007,London,terraced,727673,h7,80001
152,E12000007,London,terraced,727673,h8plus,30145
153,E12000007,London,detached,208078,h0,0
154,E12000007,London,detached,208078,h1,1001983
155,E12000007,London,detached,208078,h2,1001983
156,E12000007,London,detached,208078,h3,1007485
157,E12000007,London,detached,208078,h4,587620
158,E12000007,London,detached,208078,h5,483036
159,E12000007,London,detached,208078,h6,201049
160,E12000007,London,detached,208078,h7,80001
161,E12000007,London,detached,208078,h8plus,30145
162,E12000007,London,flats,1380137,h0,0
163,E12000007,London,flats,1380137,h1,1001983
164,E12000007,London,flats,1380137,h2,1001983
165,E12000007,London,flats,1380137,h3,1007485
166,E12000007,London,flats,1380137,h4,587620
167,E12000007,London,flats,1380137,h5,483036
168,E12000007,London,flats,1380137,h6,201049
169,E12000007,London,flats,1380137,h7,80001
170,E12000007,London,flats,1380137,h8plus,30145
171,E12000007,London,semiDetached,636084,h0,0
172,E12000007,London,semiDetached,636084,h1,1001983
173,E12000007,London,semiDetached,636084,h2,1001983
174,E12000007,London,semiDetached,636084,h3,1007485
175,E12000007,London,semiDetached,636084,h4,587620
176,E12000007,London,semiDetached,636084,h5,483036
177,E12000007,London,semiDetached,636084,h6,201049
178,E12000007,London,semiDetached,636084,h7,80001
179,E12000007,London,semiDetached,636084,h8plus,30145
180,E12000007,London,caravan,4406,h0,0
181,E12000007,London,caravan,4406,h1,1001983
182,E12000007,London,caravan,4406,h2,1001983
